study_id,case_id,parent_index,change_paths,seed,arm,candidate_status,candidate_program,field_hamming,behavioral_novelty,movement_novelty,construction_novelty,reproduction_novelty,initial_physical_sha256,pre_shock_state_sha256,established_at_shock,pre_shock_lineage_share,focal_survived_famine,shocked_lineage_share_auc,shadow_lineage_share_auc,lineage_share_auc_gap,shocked_lineage_alive_auc,shadow_lineage_alive_auc,lineage_alive_auc_gap,shocked_population_auc,shadow_population_auc,population_auc_gap,population_recovery_steps,population_recovery_censored,conservation_ok,pre_capacity_blocked_births,shocked_capacity_blocked_births,shadow_capacity_blocked_births,capacity_blocked_births
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7100,parent,exact_parent,"{""construction"":""always"",""movement"":""seek_opposite"",""reproduce_at"":14,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",0,0,0,0,0,sha256:e8bff0e4c74a22ccec8ffbd79b1add7bc7ac2b9f75300c1f75b14bc2e7267e6f,sha256:9ddc27b51c58dabe0a7e8dfd1ec596749ff45938e60ad0292b784078a618a064,False,0,False,0,0,0,0,0,0,1382,1704,-322,36,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7100,typed_macro,valid,"{""construction"":""until_nonzero"",""movement"":""seek_resource"",""reproduce_at"":18,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.527777777778,0.75,0.666666666667,0.166666666667,sha256:e8bff0e4c74a22ccec8ffbd79b1add7bc7ac2b9f75300c1f75b14bc2e7267e6f,sha256:69d27284419be1afe40527b27462a4d29c867b570e72e4373272428df5a46383,True,0.100433305391,True,1.02096129692,11.1713391201,-10.1503778232,23,366,-343,1643,1958,-315,14,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7100,random_same_mask,valid,"{""construction"":""until_nonzero"",""movement"":""default"",""reproduce_at"":28,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.638888888889,0.75,0.666666666667,0.5,sha256:e8bff0e4c74a22ccec8ffbd79b1add7bc7ac2b9f75300c1f75b14bc2e7267e6f,sha256:205309538ce6cecccf3f9bf71e5f02baff443b4033e08e9174e80a1298d61ddb,False,0,False,0,0,0,0,0,0,849,659,190,1,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7100,codex_agent_itt,valid,"{""construction"":""until_nonzero"",""movement"":""stay_if_fed"",""reproduce_at"":20,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.604166666667,0.8125,0.666666666667,0.333333333333,sha256:e8bff0e4c74a22ccec8ffbd79b1add7bc7ac2b9f75300c1f75b14bc2e7267e6f,sha256:8108870bb0ac275f3db8858edda0f6814b3b3727229794df50f6b0586909aaab,False,0.0306974907952,False,0,0,0,0,0,0,1507,1901,-394,12,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7101,parent,exact_parent,"{""construction"":""always"",""movement"":""seek_opposite"",""reproduce_at"":14,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",0,0,0,0,0,sha256:c8be15f73aff0fa2bcd29b2469cc25f09d83a06ddb9aeda7e778dcbfd197b782,sha256:b00b367a3830c349ae1b8d1f7241b7cd03eefc47163486a1c5c5c9980564e0c0,True,0.0612045632189,False,0,0,0,0,0,0,2363,2394,-31,7,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7101,typed_macro,valid,"{""construction"":""until_nonzero"",""movement"":""seek_resource"",""reproduce_at"":18,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.527777777778,0.75,0.666666666667,0.166666666667,sha256:c8be15f73aff0fa2bcd29b2469cc25f09d83a06ddb9aeda7e778dcbfd197b782,sha256:6b9ae815275af15544f4edba871aafbb928171114c57fe6dd5cd20e508ec768a,False,0,False,0,0,0,0,0,0,123,600,-477,,True,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7101,random_same_mask,valid,"{""construction"":""until_nonzero"",""movement"":""default"",""reproduce_at"":28,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.638888888889,0.75,0.666666666667,0.5,sha256:c8be15f73aff0fa2bcd29b2469cc25f09d83a06ddb9aeda7e778dcbfd197b782,sha256:157b21dcb5261c07356dc867d4932be6e3460ff172f8caf3d5ebdc54b6c455e0,False,0,False,0,0,0,0,0,0,2053,2034,19,7,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7101,codex_agent_itt,valid,"{""construction"":""until_nonzero"",""movement"":""stay_if_fed"",""reproduce_at"":20,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.604166666667,0.8125,0.666666666667,0.333333333333,sha256:c8be15f73aff0fa2bcd29b2469cc25f09d83a06ddb9aeda7e778dcbfd197b782,sha256:3c27110c1ac9200f059ef1950e9e99f035059e9fcf6496b349ef93e0a2fcb668,False,0,False,0,0,0,0,0,0,2504,2652,-148,14,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7102,parent,exact_parent,"{""construction"":""always"",""movement"":""seek_opposite"",""reproduce_at"":14,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",0,0,0,0,0,sha256:4a0c2036a0b774d9a76313acad1cdc63869a11a581cfebc9f643294b46ce6be9,sha256:d067aae1b58fcf6142291070a43e57d36220a1d2b4cdefa290252a77af6a4a93,False,0,False,0,0,0,0,0,0,232,187,45,2,False,True,0,0,0,0
semantic-variation-v1,case-00,0,"[""movement"",""construction"",""reproduce_at""]",7102,typed_macro,valid,"{""construction"":""until_nonzero"",""movement"":""seek_resource"",""reproduce_at"":18,""require_uncrowded"":false,""schema"":1,""traits"":{""construct"":1,""role"":""producer"",""taste"":1}}",3,0.527777777778,0.75,0.666666666667,0.166666666667,sha256:4a0c2036a0b774d9a76313acad1cdc63869a11a581cfebc9f643294b46ce6be9,sha256:4c06045a7d5ad1d1d43552e9382e1b1086d32936d754f68a4a3ec4158b24cb77,False,0,False,0,0,0,0,0,0,364,772,-408,,True,True,0,0,0,0
